LOG 2025/03/10
Save Path: D:\java\GitHub\pornMagnetSpringBoot\_91pornyy\ffmpeg_and_SimpleG\Logs
Task Start: 2025/03/10 21:26:35
Task CommandLine: "D:\java\GitHub\pornMagnetSpringBoot\_91pornyy\ffmpeg_and_SimpleG\N_m3u8DL-CLI_v3.0.2.exe" "https://91porny.com/video/view/4d5de794f6be4cf0c8e4" --saveName "4d5de794f6be4cf0c8e4" 

21:26:35.042 / (NORMAL) 开始解析 https://91porny.com/video/view/4d5de794f6be4cf0c8e4
21:26:35.675 / (NORMAL) 远程服务器返回错误: (403) 已禁止。
21:26:35.675 / (ERROR) 远程服务器返回错误: (403) 已禁止。
21:26:38.319 / (NORMAL) 远程服务器返回错误: (403) 已禁止。
21:26:38.319 / (ERROR) 远程服务器返回错误: (403) 已禁止。
21:26:40.266 / (NORMAL) 远程服务器返回错误: (403) 已禁止。
21:26:40.266 / (ERROR) 远程服务器返回错误: (403) 已禁止。
21:26:41.596 / (NORMAL) 远程服务器返回错误: (403) 已禁止。
21:26:41.596 / (ERROR) 远程服务器返回错误: (403) 已禁止。
21:26:42.916 / (NORMAL) 远程服务器返回错误: (403) 已禁止。
21:26:42.916 / (ERROR) 远程服务器返回错误: (403) 已禁止。
