LOG 2024/04/21
Save Path: D:\java\GitHub\pornMagnetSpringBoot\Logs
Task Start: 2024/04/21 12:39:54
Task CommandLine: "D:\java\GitHub\pornMagnetSpringBoot\N_m3u8DL-CLI_v3.0.2.exe" 

12:39:54.245 / (NORMAL) 开始解析 https://cdn2.jiuse2.cloud/hls/958090/index.m3u8?t=1713674033&m=pP7Bi61mL43STmqXpv5XeA
12:39:54.696 / (NORMAL) 远程服务器返回错误: (410) 不再存在。
12:39:54.696 / (ERROR) 远程服务器返回错误: (410) 不再存在。
12:39:56.159 / (NORMAL) 远程服务器返回错误: (410) 不再存在。
12:39:56.160 / (ERROR) 远程服务器返回错误: (410) 不再存在。
12:39:57.618 / (NORMAL) 远程服务器返回错误: (410) 不再存在。
12:39:57.619 / (ERROR) 远程服务器返回错误: (410) 不再存在。
12:39:59.253 / (NORMAL) 远程服务器返回错误: (410) 不再存在。
12:39:59.253 / (ERROR) 远程服务器返回错误: (410) 不再存在。
12:40:00.706 / (NORMAL) 远程服务器返回错误: (410) 不再存在。
12:40:00.707 / (ERROR) 远程服务器返回错误: (410) 不再存在。
