LOG 2024/04/21
Save Path: D:\java\GitHub\pornMagnetSpringBoot\Logs
Task Start: 2024/04/21 12:41:16
Task CommandLine: "D:\java\GitHub\pornMagnetSpringBoot\N_m3u8DL-CLI_v3.0.2.exe" 

12:41:16.147 / (NORMAL) 开始解析 https://cdn2.jiuse2.cloud/hls/958090/index.m3u8?t=1713674033&m=pP7Bi61mL43STmqXpv5XeA
12:41:16.596 / (NORMAL) 远程服务器返回错误: (410) 不再存在。
12:41:16.596 / (ERROR) 远程服务器返回错误: (410) 不再存在。
12:41:18.062 / (NORMAL) 远程服务器返回错误: (410) 不再存在。
12:41:18.063 / (ERROR) 远程服务器返回错误: (410) 不再存在。
12:41:19.520 / (NORMAL) 远程服务器返回错误: (410) 不再存在。
12:41:19.520 / (ERROR) 远程服务器返回错误: (410) 不再存在。
12:41:21.182 / (NORMAL) 远程服务器返回错误: (410) 不再存在。
12:41:21.182 / (ERROR) 远程服务器返回错误: (410) 不再存在。
12:41:22.651 / (NORMAL) 远程服务器返回错误: (410) 不再存在。
12:41:22.651 / (ERROR) 远程服务器返回错误: (410) 不再存在。
