LOG 2024/04/21
Save Path: D:\java\GitHub\pornMagnetSpringBoot\Logs
Task Start: 2024/04/21 12:39:39
Task CommandLine: "D:\java\GitHub\pornMagnetSpringBoot\N_m3u8DL-CLI_v3.0.2.exe" 

12:39:39.561 / (NORMAL) 开始解析 https://cdn2.jiuse2.cloud/hls/958090/index.m3u8?t=1713674033&m=pP7Bi61mL43STmqXpv5XeA
12:39:40.014 / (NORMAL) 远程服务器返回错误: (410) 不再存在。
12:39:40.014 / (ERROR) 远程服务器返回错误: (410) 不再存在。
12:39:41.473 / (NORMAL) 远程服务器返回错误: (410) 不再存在。
12:39:41.473 / (ERROR) 远程服务器返回错误: (410) 不再存在。
12:39:42.935 / (NORMAL) 远程服务器返回错误: (410) 不再存在。
12:39:42.935 / (ERROR) 远程服务器返回错误: (410) 不再存在。
12:39:44.389 / (NORMAL) 远程服务器返回错误: (410) 不再存在。
12:39:44.389 / (ERROR) 远程服务器返回错误: (410) 不再存在。
12:39:45.933 / (NORMAL) 远程服务器返回错误: (410) 不再存在。
12:39:45.933 / (ERROR) 远程服务器返回错误: (410) 不再存在。
